"p","d","q","P","D","Q","AIC","AICC","BIC"
6,1,6,4,1,3,27030.7443313573,27031.0441172245,27149.6554399224
6,1,6,1,1,6,27030.7785314277,27031.0783172949,27149.6896399928
5,1,5,3,1,6,27030.8116430247,27031.1114288919,27149.7227515898
7,1,6,0,1,6,27030.819125947,27031.1189118143,27149.7302345121
5,1,5,2,1,2,27030.9110731222,27031.0820741909,27120.094404546
1,1,5,5,1,3,27031.2017083707,27031.3727094394,27120.3850397945
6,1,3,5,1,4,27031.3859319809,27031.6570700473,27144.3514851178
7,1,6,3,1,5,27031.7198841736,27032.081312745,27162.5221035952
5,1,4,5,1,4,27031.8048910868,27032.0760291532,27144.7704442237
7,1,6,2,1,6,27031.8481644278,27032.2095929993,27162.6503838494
6,1,6,3,1,4,27032.1042290994,27032.4040149666,27151.0153376645
6,1,6,2,1,6,27032.4008264908,27032.7307086757,27157.2574904841
6,1,6,3,1,6,27032.7689291468,27033.1303577182,27163.5711485684
5,1,5,5,1,4,27032.9352974866,27033.2350833539,27151.8464060517
1,1,6,5,1,3,27032.9360427883,27033.1299130663,27128.0649296404
5,1,5,5,1,2,27032.9594004538,27033.2033376864,27139.9793981624
5,1,6,5,1,6,27033.0221012377,27033.4165278187,27169.7698760876
6,1,3,5,1,5,27033.3979071492,27033.6976930164,27152.3090157143
6,1,4,1,1,1,27033.6689094158,27033.7984928975,27110.9611299831
7,1,6,3,1,6,27033.9200647589,27034.3144913398,27170.6678396087
4,1,6,2,1,6,27034.1621828229,27034.4333208893,27147.1277359597
6,1,3,1,1,2,27034.2976168888,27034.4272003705,27111.5898374561
5,1,5,5,1,6,27034.3541725692,27034.7156011406,27165.1563919908
6,1,3,4,1,5,27034.3686221721,27034.6397602385,27147.3341753089
7,1,3,3,1,2,27034.4805689804,27034.6744392584,27129.6094558324
6,1,3,4,1,3,27034.7352912059,27034.9534730241,27135.8097334862
7,1,5,5,1,3,27035.2307581641,27035.5606403491,27160.0874221575
6,1,3,2,1,1,27035.3232217652,27035.4528052469,27112.6154423325
7,1,6,5,1,5,27035.3507911329,27035.7796689027,27178.044121411
1,1,5,5,1,5,27035.6888316333,27035.9070134515,27136.7632739136
5,1,5,1,1,4,27035.8600585166,27036.0539287946,27130.9889453687
6,1,3,2,1,2,27036.1801772448,27036.3297498944,27119.4179532403
6,1,3,1,1,3,27036.3235488942,27036.4731215437,27119.5613248897
5,1,6,4,1,5,27036.7958881055,27037.1257702904,27161.6525520988
6,1,3,0,1,5,27036.8525979903,27037.0235990591,27126.0359294141
7,1,3,0,1,6,27036.8640424871,27037.0822243053,27137.9384847675
6,1,3,3,1,1,27036.9489863949,27037.0985590445,27120.1867623905
6,1,3,0,1,3,27037.0358317242,27037.1654152059,27114.3280522915
6,1,3,2,1,3,27037.0846508265,27037.2556518953,27126.2679822503
7,1,3,2,1,2,27037.2708278072,27037.441828876,27126.454159231
6,1,3,3,1,2,27037.3039009058,27037.4749019746,27126.4872323296
3,1,6,2,1,2,27037.504316321,27037.6538889706,27120.7420923166
6,1,3,5,1,2,27037.7713848872,27037.9895667053,27138.8458271675
5,1,5,5,1,5,27037.7833065909,27038.1131887758,27162.6399705842
6,1,3,1,1,6,27037.9521334493,27038.1703152674,27139.0265757296
7,1,5,3,1,2,27038.0165666671,27038.2605038997,27145.0365643757
6,1,3,2,1,4,27038.0313214097,27038.2251916876,27133.1602082617
6,1,3,0,1,4,27038.1837168395,27038.3332894891,27121.421492835
5,1,5,4,1,6,27038.2259976452,27038.5558798302,27163.0826616386
6,1,3,1,1,5,27038.7811495592,27038.9750198372,27133.9100364113
6,1,3,0,1,6,27038.7974006551,27038.9912709331,27133.9262875072
6,1,3,3,1,3,27038.8880434484,27039.0819137264,27134.0169303005
3,1,4,2,1,5,27038.9230223617,27039.0940234305,27128.1063537855
5,1,6,4,1,6,27039.2753615224,27039.6367900938,27170.077580944
6,1,3,3,1,4,27039.6581480569,27039.8763298751,27140.7325903373
5,1,2,5,1,4,27040.1379589732,27040.3561407914,27141.2124012535
2,1,5,5,1,3,27040.3156209716,27040.5094912496,27135.4445078237
5,1,2,4,1,4,27040.3842576799,27040.5781279579,27135.513144532
1,1,6,2,1,6,27040.3895818617,27040.5834521396,27135.5184687137
5,1,2,4,1,5,27040.6706483392,27040.8888301574,27141.7450906195
5,1,3,3,1,5,27040.7098789069,27040.9280607251,27141.7843211872
2,1,5,3,1,6,27040.8188211302,27041.0370029484,27141.8932634105
6,1,3,2,1,5,27040.8581390129,27041.0763208311,27141.9325812932
3,1,4,2,1,6,27040.8906295723,27041.0844998502,27136.0195164243
6,1,3,1,1,4,27041.03664291,27041.2076439787,27130.2199743338
2,1,5,1,1,2,27041.1959832044,27041.28989996,27106.5970929152
3,1,4,3,1,5,27041.2724952013,27041.4663654793,27136.4013820534
4,1,4,4,1,4,27041.379435077,27041.5976168952,27142.4538773573
5,1,3,1,1,2,27041.4034321281,27041.5144641565,27112.7500972671
2,1,5,4,1,4,27041.4072159184,27041.6010861964,27136.5361027705
4,1,3,2,1,6,27041.4328811105,27041.6267513885,27136.5617679626
7,1,6,4,1,3,27041.5068252587,27041.8367074436,27166.363489252
3,1,4,2,1,1,27041.5135103784,27041.607427134,27106.9146200892
5,1,2,5,1,3,27041.6208292865,27041.8146995644,27136.7497161385
3,1,4,0,1,3,27041.794495208,27041.8884119636,27107.1956049188
1,1,6,5,1,4,27042.0170966988,27042.235278517,27143.0915389791
4,1,3,5,1,3,27042.0557993337,27042.2496696117,27137.1846861858
2,1,6,5,1,3,27042.2679025937,27042.4860844119,27143.342344874
7,1,5,0,1,1,27042.3718555538,27042.5214282033,27125.6096315493
3,1,5,4,1,4,27042.3800919965,27042.5982738146,27143.4545342768
2,1,5,5,1,4,27042.3936477466,27042.6118295648,27143.4680900269
2,1,6,3,1,5,27042.4800787173,27042.6982605354,27143.5545209976
5,1,2,4,1,3,27042.5295473902,27042.7005484589,27131.712878814
5,1,5,1,1,2,27042.6001584371,27042.7497310867,27125.8379344327
7,1,2,3,1,6,27042.6669205401,27042.9380586064,27155.6324736769
6,1,3,2,1,6,27042.6991737404,27042.9431109729,27149.7191714489
5,1,3,2,1,5,27042.7343109489,27042.9281812269,27137.863197801
5,1,3,1,1,3,27042.7488646117,27042.8784480934,27120.041085179
5,1,1,3,1,6,27042.826170393,27043.020040671,27137.9550572451
2,1,5,2,1,2,27042.8367303497,27042.9477623781,27114.1833954887
5,1,2,1,1,2,27042.8569856759,27042.9509024315,27108.2580953867
2,1,5,4,1,3,27042.8640456681,27043.0350467368,27132.0473770919
7,1,3,3,1,5,27042.9675911326,27043.238729199,27155.9331442694
3,1,6,5,1,5,27042.9744265016,27043.2742123688,27161.8855350667
4,1,3,4,1,3,27042.9775529981,27043.1485540669,27132.1608844219
6,1,2,5,1,3,27043.0774955959,27043.295677414,27144.1519378762
3,1,6,5,1,3,27043.0876483961,27043.3315856287,27150.1076461047
5,1,4,5,1,2,27043.1004883975,27043.3186702157,27144.1749306778
3,1,4,4,1,5,27043.1034690982,27043.3216509164,27144.1779113785
1,1,5,3,1,4,27043.1457248449,27043.2952974945,27126.3835008404
7,1,5,2,1,1,27043.2079983184,27043.4018685964,27138.3368851705
7,1,2,5,1,4,27043.2341306524,27043.5052687188,27156.1996837893
1,1,5,3,1,1,27043.2354175115,27043.3293342671,27108.6365272223
7,1,2,4,1,5,27043.2395513411,27043.5106894075,27156.205104478
4,1,3,5,1,4,27043.4397976099,27043.6579794281,27144.5142398902
3,1,6,4,1,3,27043.5251795556,27043.7433613738,27144.5996218359
5,1,3,5,1,4,27043.5472857221,27043.7912229547,27150.5672834307
3,1,5,2,1,6,27043.6151682146,27043.8333500328,27144.6896104949
3,1,4,2,1,2,27043.6393398434,27043.7503718718,27114.9860049824
5,1,3,4,1,1,27043.7348938321,27043.8844664817,27126.9726698276
2,1,5,1,1,3,27043.850689094,27043.9617211224,27115.197354233
7,1,4,0,1,1,27043.8739987449,27044.0035822266,27121.1662193122
2,1,6,0,1,4,27043.9381534129,27044.0677368946,27121.2303739802
5,1,3,3,1,6,27043.9476378531,27044.1915750856,27150.9676355616
3,1,4,1,1,3,27044.0664556299,27044.1774876584,27115.413120769
2,1,6,4,1,1,27044.1991268834,27044.3486995329,27127.4369028789
5,1,3,2,1,2,27044.2492257579,27044.3788092395,27121.5414463251
6,1,3,5,1,6,27044.279137876,27044.6090200609,27169.1358018693
1,1,4,5,1,3,27044.3393269291,27044.4888995787,27127.5771029246
6,1,3,1,1,1,27044.3971160727,27044.5081481011,27115.7437812117
2,1,6,2,1,2,27044.4810852379,27044.6106687195,27121.7733058051
4,1,5,2,1,5,27044.4819265236,27044.7001083418,27145.5563688039
2,1,5,3,1,5,27044.5302103968,27044.7240806748,27139.6590972488
3,1,4,0,1,5,27044.5447164818,27044.6742999634,27121.8369370491
5,1,2,2,1,2,27044.6241057573,27044.7351377857,27115.9707708963
4,1,4,3,1,6,27044.6292585541,27044.8731957866,27151.6492562627
2,1,5,2,1,4,27044.6379033556,27044.7874760052,27127.8756793511
1,1,6,3,1,3,27044.6640844474,27044.813657097,27127.901860443
2,1,6,1,1,3,27044.691500535,27044.8210840167,27121.9837211023
3,1,4,1,1,1,27044.7272801515,27044.8055162823,27104.182834434
1,1,4,2,1,6,27044.8216202487,27044.9711928982,27128.0593962442
3,1,4,2,1,3,27044.9183303375,27045.0479138191,27122.2105509048
5,1,3,1,1,1,27044.9654331325,27045.0593498881,27110.3665428432
2,1,6,0,1,3,27044.9798743353,27045.0909063638,27116.3265394743
7,1,2,2,1,5,27045.0308526271,27045.2490344453,27146.1052949074
5,1,3,2,1,6,27045.0563514176,27045.2745332358,27146.1307936979
1,1,6,3,1,1,27045.0660326904,27045.1770647189,27116.4126978295
2,1,5,3,1,1,27045.1098968633,27045.2209288918,27116.4565620024
3,1,5,1,1,3,27045.2034408098,27045.3330242915,27122.4956613771
6,1,2,1,1,3,27045.2366658169,27045.3662492985,27122.5288863842
5,1,1,3,1,5,27045.2770151682,27045.448016237,27134.4603465921
1,1,5,5,1,1,27045.2958734104,27045.4254568921,27122.5880939777
5,1,3,5,1,1,27045.3443959106,27045.5153969794,27134.5277273344
4,1,4,2,1,2,27045.3727889673,27045.5023724489,27122.6650095346
6,1,5,0,1,3,27045.3786520777,27045.5496531465,27134.5619835015
3,1,4,3,1,2,27045.4370977028,27045.5666811845,27122.7293182701
2,1,6,0,1,6,27045.4548991182,27045.625900187,27134.638230542
6,1,4,4,1,3,27045.5144594786,27045.7583967111,27152.5344571871
4,1,3,3,1,1,27045.5427722285,27045.653804257,27116.8894373676
1,1,4,2,1,5,27045.6335881451,27045.7631716267,27122.9258087124
3,1,4,1,1,4,27045.6777419667,27045.8073254483,27122.969962534
7,1,2,2,1,6,27045.7328336819,27045.9767709144,27152.7528313905
5,1,2,2,1,3,27045.8211652194,27045.950748701,27123.1133857867
1,1,5,3,1,2,27045.8410732444,27045.9521052729,27117.1877383835
5,1,1,5,1,4,27045.8429775197,27046.0368477977,27140.9718643718
4,1,3,0,1,4,27045.8666607576,27045.9776927861,27117.2133258967
2,1,5,3,1,2,27045.9057005766,27046.0352840582,27123.1979211439
5,1,3,3,1,3,27045.9235519219,27046.0945529907,27135.1068833457
3,1,5,2,1,3,27045.9449445222,27046.0945171717,27129.1827205177
5,1,1,5,1,3,27045.9932377019,27046.1642387706,27135.1765691257
5,1,3,0,1,2,27046.0098320016,27046.1037487572,27111.4109417124
2,1,6,2,1,3,27046.0265897587,27046.1761624083,27129.2643657543
7,1,2,4,1,3,27046.0500985662,27046.2682803843,27147.1245408465
2,1,5,2,1,1,27046.1527175273,27046.2466342829,27111.5538272381
3,1,4,0,1,6,27046.2301092722,27046.3796819218,27129.4678852677
2,1,5,0,1,5,27046.2485736499,27046.3781571316,27123.5407942172
4,1,4,1,1,3,27046.2519503506,27046.3815338322,27123.5441709179
5,1,6,2,1,2,27046.261826081,27046.455696359,27141.3907129331
3,1,4,1,1,5,27046.3498102229,27046.4993828725,27129.5875862185
2,1,6,4,1,3,27046.3837465259,27046.5776168039,27141.5126333779
7,1,3,4,1,4,27046.4220311739,27046.6931692402,27159.3875843107
5,1,3,2,1,3,27046.4504018762,27046.5999745258,27129.6881778718
2,1,6,3,1,6,27046.4818498417,27046.7257870742,27153.5018475503
3,1,4,4,1,2,27046.5136870822,27046.6632597318,27129.7514630778
5,1,2,3,1,1,27046.5234277763,27046.6344598048,27117.8700929153
7,1,5,2,1,4,27046.5784371889,27046.8495752552,27159.5439903257
2,1,6,2,1,4,27046.6584202332,27046.829421302,27135.841751657
6,1,3,0,1,2,27046.6699648907,27046.7809969192,27118.0166300298
1,1,6,1,1,4,27046.7299357569,27046.8595192386,27124.0221563242
2,1,5,3,1,4,27046.749061398,27046.9200624667,27135.9323928218
5,1,2,0,1,4,27046.7523239539,27046.8633559824,27118.0989890929
2,1,6,1,1,4,27046.7972952098,27046.9468678593,27130.0350712053
5,1,1,2,1,6,27046.809810127,27046.9808111957,27135.9931415508
3,1,4,4,1,4,27046.8446654602,27047.0385357382,27141.9735523123
4,1,3,2,1,1,27046.8845111513,27046.9784279069,27112.2856208621
1,1,5,3,1,3,27046.8926533901,27047.0222368717,27124.1848739574
2,1,5,1,1,4,27046.8980776441,27047.0276611257,27124.1902982114
5,1,2,5,1,5,27046.9235563646,27047.1674935971,27153.9435540732
7,1,5,5,1,1,27046.9603840312,27047.2315220976,27159.9259371681
5,1,3,3,1,1,27046.9626524865,27047.0922359681,27124.2548730538
3,1,5,2,1,2,27046.9672273616,27047.0968108433,27124.2594479289
2,1,5,4,1,2,27046.9752687701,27047.1248414197,27130.2130447657
5,1,1,4,1,3,27046.9832385549,27047.1328112044,27130.2210145504
3,1,5,3,1,1,27047.0755070312,27047.2050905128,27124.3677275985
6,1,3,4,1,6,27047.0834299439,27047.3832158111,27165.9945385089
1,1,6,5,1,1,27047.0886690052,27047.2382416548,27130.3264450007
1,1,6,1,1,5,27047.1119761778,27047.2615488273,27130.3497521733
2,1,5,1,1,5,27047.1687527974,27047.318325447,27130.406528793
4,1,3,0,1,3,27047.2746912835,27047.3686080391,27112.6758009943
6,1,5,0,1,4,27047.2882760357,27047.4821463137,27142.4171628878
5,1,3,1,1,4,27047.2998936184,27047.4494662679,27130.5376696139
7,1,2,1,1,3,27047.306155541,27047.4557281905,27130.5439315365
3,1,5,1,1,4,27047.3068796822,27047.4564523318,27130.5446556777
5,1,5,1,1,1,27047.3071395217,27047.4367230033,27124.599360089
5,1,6,2,1,3,27047.3362223175,27047.5544041357,27148.4106645978
6,1,2,3,1,6,27047.3586478472,27047.6025850797,27154.3786455558
4,1,5,1,1,3,27047.3953337278,27047.5449063773,27130.6331097233
5,1,1,5,1,5,27047.4005378126,27047.6187196308,27148.4749800929
2,1,5,5,1,1,27047.4064839904,27047.55605664,27130.6442599859
5,1,1,4,1,5,27047.4333966161,27047.627266894,27142.5622834681
5,1,1,5,1,6,27047.4485323424,27047.6924695749,27154.468530051
5,1,2,0,1,5,27047.4558252878,27047.5854087695,27124.7480458551
5,1,6,1,1,1,27047.4677169746,27047.6172896242,27130.7054929701
3,1,5,0,1,2,27047.5052995704,27047.599216326,27112.9064092812
6,1,4,3,1,5,27047.5730293465,27047.8441674128,27160.5385824833
2,1,6,0,1,2,27047.6002110568,27047.6941278124,27113.0013207676
5,1,2,4,1,1,27047.6037064563,27047.733289938,27124.8959270236
4,1,3,5,1,1,27047.613858877,27047.7634315266,27130.8516348726
6,1,5,1,1,1,27047.6220675787,27047.7716402283,27130.8598435742
5,1,2,2,1,5,27047.6495854643,27047.8205865331,27136.8329168881
5,1,2,3,1,2,27047.6795259952,27047.8091094769,27124.9717465625
6,1,5,4,1,1,27047.6935760948,27047.911757913,27148.7680183752
3,1,5,4,1,1,27047.7241262984,27047.873698948,27130.961902294
3,1,6,1,1,3,27047.7662380891,27047.9158107387,27131.0040140846
3,1,5,3,1,6,27047.7891947598,27048.0331319923,27154.8091924683
4,1,3,0,1,6,27047.8147227689,27047.9642954185,27131.0524987644
5,1,1,2,1,5,27047.8807760699,27048.0303487195,27131.1185520655
4,1,5,1,1,4,27047.9340886722,27048.105089741,27137.117420096
5,1,3,2,1,4,27048.0184131473,27048.1894142161,27137.2017445711
7,1,4,1,1,1,27048.0365090298,27048.1860816793,27131.2742850253
2,1,6,0,1,5,27048.0413827966,27048.1909554462,27131.2791587922
5,1,3,0,1,5,27048.047573027,27048.1971456766,27131.2853490226
2,1,5,3,1,3,27048.0623977867,27048.2119704363,27131.3001737823
2,1,6,3,1,2,27048.0859742836,27048.2355469331,27131.3237502791
5,1,2,2,1,1,27048.1081929069,27048.2021096625,27113.5093026177
4,1,3,0,1,1,27048.1135248752,27048.1775134994,27101.6235237294
2,1,6,3,1,4,27048.1226879272,27048.3165582051,27143.2515747792
3,1,4,4,1,1,27048.1354377529,27048.2650212346,27125.4276583202
4,1,4,0,1,5,27048.1609160281,27048.3104886777,27131.3986920236
2,1,6,2,1,1,27048.2141552977,27048.3251873262,27119.5608204368
