"p","q","P","Q","fejl"
7,6,2,4,"non-finite finite-difference value [7]"
7,2,3,4,"non-finite finite-difference value [7]"
3,3,3,4,"non-finite finite-difference value [3]"
3,5,3,4,"initial value in 'vmmin' is not finite"
4,5,3,4,"non-finite finite-difference value [6]"
5,5,3,4,"non-finite finite-difference value [5]"
6,5,3,4,"non-finite finite-difference value [1]"
7,5,3,4,"non-finite finite-difference value [7]"
7,6,3,4,"non-finite finite-difference value [15]"
4,1,4,4,"initial value in 'vmmin' is not finite"
7,1,4,4,"non-finite finite-difference value [6]"
3,2,4,4,"non-finite finite-difference value [1]"
3,3,4,4,"initial value in 'vmmin' is not finite"
5,3,4,4,"non-finite finite-difference value [12]"
6,3,4,4,"non-finite finite-difference value [1]"
7,4,4,4,"non-finite finite-difference value [1]"
1,5,4,4,"initial value in 'vmmin' is not finite"
4,5,4,4,"non-finite finite-difference value [4]"
5,5,4,4,"non-finite finite-difference value [3]"
6,5,4,4,"non-finite finite-difference value [13]"
7,5,4,4,"non-finite finite-difference value [2]"
1,6,4,4,"initial value in 'vmmin' is not finite"
2,6,4,4,"non-finite finite-difference value [3]"
3,6,4,4,"non-finite finite-difference value [11]"
5,6,4,4,"non-finite finite-difference value [1]"
6,6,4,4,"non-finite finite-difference value [4]"
2,2,5,4,"non-finite finite-difference value [6]"
3,2,5,4,"initial value in 'vmmin' is not finite"
1,3,5,4,"non-finite finite-difference value [9]"
3,3,5,4,"initial value in 'vmmin' is not finite"
7,3,5,4,"non-finite finite-difference value [3]"
1,4,5,4,"non-finite finite-difference value [1]"
3,4,5,4,"initial value in 'vmmin' is not finite"
6,4,5,4,"non-finite finite-difference value [3]"
7,4,5,4,"non-finite finite-difference value [7]"
1,5,5,4,"non-finite finite-difference value [11]"
3,5,5,4,"non-finite finite-difference value [2]"
4,5,5,4,"non-finite finite-difference value [1]"
6,5,5,4,"non-finite finite-difference value [6]"
7,5,5,4,"non-finite finite-difference value [7]"
4,6,5,4,"non-finite finite-difference value [1]"
6,6,5,4,"non-finite finite-difference value [3]"
7,6,5,4,"non-finite finite-difference value [4]"
4,1,1,5,"non-finite finite-difference value [4]"
6,2,1,5,"non-finite finite-difference value [6]"
7,3,1,5,"non-finite finite-difference value [7]"
7,5,1,5,"non-finite finite-difference value [3]"
7,6,1,5,"non-finite finite-difference value [7]"
4,1,2,5,"non-finite finite-difference value [4]"
2,4,2,5,"non-finite finite-difference value [7]"
6,4,2,5,"non-finite finite-difference value [2]"
3,5,2,5,"non-finite finite-difference value [3]"
6,5,2,5,"non-finite finite-difference value [1]"
7,5,2,5,"non-finite finite-difference value [7]"
2,6,2,5,"non-finite finite-difference value [6]"
3,6,2,5,"non-finite finite-difference value [3]"
4,6,2,5,"non-finite finite-difference value [10]"
6,6,2,5,"non-finite finite-difference value [6]"
7,6,2,5,"non-finite finite-difference value [1]"
3,2,3,5,"initial value in 'vmmin' is not finite"
7,2,3,5,"non-finite finite-difference value [1]"
4,3,3,5,"non-finite finite-difference value [2]"
1,4,3,5,"non-finite finite-difference value [2]"
1,5,3,5,"non-finite finite-difference value [1]"
3,5,3,5,"non-finite finite-difference value [1]"
4,5,3,5,"non-finite finite-difference value [3]"
7,5,3,5,"non-finite finite-difference value [7]"
1,6,3,5,"non-finite finite-difference value [2]"
5,6,3,5,"non-finite finite-difference value [2]"
6,6,3,5,"non-finite finite-difference value [6]"
4,1,4,5,"non-finite finite-difference value [1]"
